"ID","sex","age","edu","tenure","C","N","ch_str","hi_str","WE","posi_jc","nega_jc","JC1","JC2","JC3","JC4","JC5","JC6","JC7","JC8","JC9","JC10","JC11","JC12","JC13","JC14","JC15","JC16","JC17","JC18","JC19","JC20","JC21","mc_c","mc_n","mc_ch","mc_hi","mc_enga"
246,1,44,1,6,3.33333333333333,2.16666666666667,3.83333333333333,1.6,4.22222222222222,4.2,3,5,4,4,5,4,4,4,3,3,3,3,4,4,5,3,4,4,4,4,5,4,-0.538949275362319,-0.614130434782609,0.145833333333333,-0.919565217391304,0.304347826086957
132,1,44,1,120,4,2.33333333333333,3.83333333333333,3.4,3.11111111111111,3.86666666666667,1.75,5,5,4,5,4,2,3,2,2,1,2,4,4,4,4,4,4,4,3,1,3,0.127717391304348,-0.447463768115942,0.145833333333333,0.880434782608696,-0.806763285024155
11,1,29,1,36,4.83333333333333,2.5,4,1.8,4.55555555555555,4.53333333333333,2.75,4,5,4,5,5,4,3,2,2,4,3,4,5,4,4,5,5,4,4,5,5,0.961050724637681,-0.280797101449275,0.3125,-0.719565217391304,0.637681159420289
26,1,39,3,90,3.83333333333333,2.33333333333333,4.66666666666667,2.4,4.22222222222222,4.06666666666667,2.25,5,5,5,5,4,3,3,2,2,2,3,4,4,5,3,3,4,4,3,4,3,-0.0389492753623188,-0.447463768115942,0.979166666666667,-0.119565217391304,0.304347826086957
36,1,37,4,3,3.83333333333333,3,3.66666666666667,2.8,4.66666666666667,3.8,3.5,3,4,4,5,4,2,4,2,4,4,4,5,2,3,2,4,4,4,5,4,4,-0.0389492753623188,0.219202898550725,-0.0208333333333335,0.280434782608696,0.748792270531401
46,1,44,1,60,3.66666666666667,2.66666666666667,2.83333333333333,2.2,3.33333333333333,3.8,2,3,4,4,5,5,4,4,2,2,2,2,4,3,2,5,5,4,3,3,4,3,-0.205615942028986,-0.114130434782609,-0.854166666666667,-0.319565217391304,-0.584541062801932
79,1,36,2,23,4.33333333333333,3,3.33333333333333,3.4,3.88888888888889,4.26666666666667,4,4,4,4,5,5,5,5,5,4,4,3,4,4,4,4,4,5,5,5,3,4,0.461050724637681,0.219202898550725,-0.354166666666667,0.880434782608696,-0.0289855072463769
85,1,39,3,141,3.66666666666667,2.83333333333333,3.66666666666667,3,3.66666666666667,3.93333333333333,3,5,5,5,4,5,3,4,4,2,2,4,2,3,1,4,4,5,4,3,4,5,-0.205615942028986,0.0525362318840581,-0.0208333333333335,0.480434782608696,-0.251207729468599
96,1,38,2,20,4.66666666666667,1.66666666666667,4.5,2,4.66666666666667,4.66666666666667,3,5,5,5,5,5,3,4,3,3,3,3,4,4,5,4,4,4,5,5,5,5,0.794384057971015,-1.11413043478261,0.8125,-0.519565217391304,0.748792270531401
104,1,37,2,10,4,3,3.66666666666667,2.8,4.11111111111111,3.93333333333333,3.25,4,4,4,5,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,3,3,0.127717391304348,0.219202898550725,-0.0208333333333335,0.280434782608696,0.193236714975845
149,1,41,3,49,3.16666666666667,2.83333333333333,4.16666666666667,2.8,3.44444444444444,3.46666666666667,2.75,4,4,3,4,4,4,4,3,3,2,3,4,3,3,4,4,3,3,3,3,3,-0.705615942028986,0.0525362318840581,0.479166666666667,0.280434782608696,-0.473429951690822
190,1,39,3,60,3.33333333333333,2.16666666666667,3.83333333333333,2.4,4.22222222222222,4.4,2.25,4,4,4,4,3,3,4,3,2,2,2,4,4,5,4,5,5,5,5,5,5,-0.538949275362319,-0.614130434782609,0.145833333333333,-0.119565217391304,0.304347826086957
191,1,40,1,15,3.5,2.5,3.16666666666667,3.4,3,3.06666666666667,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-0.372282608695652,-0.280797101449275,-0.520833333333333,0.880434782608696,-0.917874396135266
192,1,32,2,14,3.5,2.66666666666667,3.83333333333333,2.4,3.22222222222222,3.33333333333333,3.5,4,4,4,5,4,4,2,4,4,3,3,4,2,2,3,4,3,2,3,3,3,-0.372282608695652,-0.114130434782609,0.145833333333333,-0.119565217391304,-0.695652173913043
203,1,39,2,157,3.83333333333333,2.16666666666667,3.83333333333333,3.2,4.22222222222222,3.73333333333333,2.75,4,4,4,4,4,5,5,3,2,2,4,3,3,3,3,3,4,4,4,5,4,-0.0389492753623188,-0.614130434782609,0.145833333333333,0.680434782608696,0.304347826086956
206,1,39,2,90,3.83333333333333,3.16666666666667,5,2.8,4.11111111111111,4,2.5,4,4,4,5,4,4,4,4,2,2,2,4,3,4,4,4,4,4,4,5,3,-0.0389492753623188,0.385869565217391,1.3125,0.280434782608696,0.193236714975845
251,1,36,3,3,4,3.33333333333333,3.66666666666667,2,3.77777777777778,3.8,3.25,4,4,4,4,5,5,5,4,4,3,2,2,4,3,4,4,5,3,3,4,4,0.127717391304348,0.552536231884058,-0.0208333333333335,-0.519565217391304,-0.140096618357489
254,1,28,2,19,3.83333333333333,3.66666666666667,2.83333333333333,2,3.77777777777778,4.13333333333333,4.25,4,4,4,4,4,4,4,4,3,5,5,5,5,5,5,5,2,3,4,4,4,-0.0389492753623188,0.885869565217391,-0.854166666666667,-0.519565217391304,-0.140096618357488
3,1,35,4,21,3.16666666666667,2.83333333333333,4,2.2,3.22222222222222,4,3.5,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,-0.705615942028986,0.0525362318840581,0.3125,-0.319565217391304,-0.695652173913044
4,1,31,1,12,5,3.16666666666667,4.66666666666667,3.4,5,4.86666666666667,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.12771739130435,0.385869565217391,0.979166666666667,0.880434782608696,1.08212560386473
5,1,35,1,60,2.5,3.33333333333333,3.66666666666667,3.6,3.55555555555556,3.93333333333333,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,-1.37228260869565,0.552536231884058,-0.0208333333333335,1.0804347826087,-0.36231884057971
12,1,43,3,55,3.5,2.83333333333333,3,1.4,4.66666666666667,4.66666666666667,1.25,5,5,5,5,5,3,3,1,1,1,2,4,4,4,4,4,5,5,5,5,5,-0.372282608695652,0.0525362318840581,-0.6875,-1.1195652173913,0.748792270531401
20,1,42,3,60,3.16666666666667,3.33333333333333,3.5,3.4,3.44444444444444,3.26666666666667,4.5,3,3,3,4,4,4,4,5,5,4,4,4,3,3,3,3,3,3,4,2,4,-0.705615942028986,0.552536231884058,-0.1875,0.880434782608696,-0.473429951690822
30,1,36,3,53,3.66666666666667,3.33333333333333,3.33333333333333,3.6,3.33333333333333,3.2,2.75,4,4,4,3,3,2,4,3,2,3,3,3,3,3,2,3,4,3,3,3,3,-0.205615942028986,0.552536231884058,-0.354166666666667,1.0804347826087,-0.584541062801932
35,1,32,4,72,4.5,3.5,4,2.4,4.88888888888889,4.13333333333333,4.5,5,5,5,5,5,5,5,5,4,5,4,4,3,4,3,3,4,4,4,4,4,0.627717391304348,0.719202898550725,0.3125,-0.119565217391304,0.971014492753624
45,1,47,3,156,4.16666666666667,3.33333333333333,4.16666666666667,1.4,4.44444444444444,3.8,4.5,4,4,5,4,4,4,4,5,4,4,5,3,4,4,4,4,4,4,3,3,3,0.294384057971015,0.552536231884058,0.479166666666667,-1.1195652173913,0.526570048309179
58,1,46,3,55,3.5,2.33333333333333,3.33333333333333,2.2,3.44444444444444,3.53333333333333,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,4,3,-0.372282608695652,-0.447463768115942,-0.354166666666667,-0.319565217391304,-0.473429951690821
59,1,44,2,46,3.5,3,3.66666666666667,2.2,3.77777777777778,3.86666666666667,3,4,4,4,5,4,4,4,4,2,3,3,4,2,4,3,4,4,4,4,4,4,-0.372282608695652,0.219202898550725,-0.0208333333333335,-0.319565217391304,-0.140096618357489
